"group","comparison","estimate","CI_lower","CI_upper","p_value","n_yes_group","n_no_group","n_yes_other","n_no_other","p_fdr"
"45_11","all_other",1.15417981973337,0.779590485063937,1.66148847468704,0.436223735536541,34,223,24592,186165,0.727039559227568
"45_09","all_other",1.02057797070286,0.802409297720354,1.28393738543141,0.860233062790293,84,623,24542,185765,0.960260163114745
"45_13","all_other",1.06201713798733,0.826595242800129,1.348572720365,0.620039483611923,78,556,24548,185832,0.840731503202607
"45_12","all_other",1.06344046529744,0.599712917221761,1.77465523707433,0.790618215152003,17,121,24609,186267,0.930139076649415
"45_10","all_other",0.677721200999966,0.240161419766356,1.55425932555269,0.465684997628714,6,67,24620,186321,0.737251193771192
"45_04","all_other",0.999173376580979,0.699578512216815,1.39303693935135,1,40,303,24586,186085,1
"50_05","all_other",0.636492337115997,0.283266044833333,1.25441291702181,0.245367717035461,9,107,24617,186281,0.540259193472574
"50_03","all_other",1.07703519718148,0.907398144087916,1.27145391123781,0.386209813726472,162,1139,24464,185249,0.693464522514733
"50_11","all_other",1.35318581346225,1.12015203200206,1.62469739979078,0.00157500018930759,138,773,24488,185615,0.0272558542162412
"50_12","all_other",0.983924109939499,0.814656499463766,1.18044333851296,0.890472563310324,133,1023,24493,185365,0.962245496023069
"50_10","all_other",1.23288482360901,1.02600245212768,1.47265309056861,0.0221035961702437,144,885,24482,185503,0.131057844282974
"50_06","all_other",1.09107662537686,0.944198426244454,1.25592676842177,0.223102392434316,226,1569,24400,184819,0.519850234798406
"50_09","all_other",0.949768728519217,0.779232936568997,1.14901997496235,0.635447397204599,121,964,24505,185424,0.847263196272798
"50_02","all_other",1.23672476932153,0.936095046276496,1.61147523882471,0.111166966945287,65,398,24561,185990,0.339456919636151
"50_01","all_other",1.1242739423744,0.802823242023654,1.54205309462737,0.452032179918566,45,303,24581,186085,0.737251193771192
"50_07","all_other",1.18816400853004,0.987255664341102,1.42120576413805,0.0590273447097781,141,899,24485,185489,0.236109378839113
"50_04","all_other",1.0157407251526,0.674373134329658,1.48226463922846,0.923244479570525,31,231,24595,186157,0.974073182164945
"50_08","all_other",1.23546717320799,1.03208255222904,1.47049546223654,0.0192229099176718,150,920,24476,185468,0.124689145411925
"55_12","all_other",1.08277185495581,0.91316459488693,1.27700448016816,0.342430343909446,164,1147,24462,185241,0.647112460931237
"55_11","all_other",1.20815991359014,1.03230048970899,1.40779578200631,0.0176319886659388,194,1217,24432,185171,0.118088494812639
"55_05","all_other",1.05926451115315,0.901529687829733,1.23859242894318,0.465055155534883,182,1301,24444,185087,0.737251193771192
"55_07","all_other",1.0930192563362,0.834477880882379,1.4123993962296,0.501470886322238,68,471,24558,185917,0.766579698836542
"55_06","all_other",1.33944801260229,1.13609514398504,1.57185793810231,0.00050196133486254,180,1019,24446,185369,0.0100392266972508
"55_04","all_other",1.35668408516417,0.956643682324276,1.88367779783831,0.0774528631061798,43,240,24583,186148,0.277443091723629
"55_02","all_other",1.13392042922918,0.959786777014502,1.3328756760891,0.132272456505235,172,1149,24454,185239,0.373475171308898
"55_10","all_other",1.29453032103831,0.866252297824577,1.88037049904746,0.176989183000318,33,193,24593,186195,0.44586802756695
"55_09","all_other",1.15206789338852,0.985660471949774,1.34070085778401,0.0679411379562255,196,1289,24430,185099,0.25085958629991
"55_01","all_other",0.981352271207227,0.802742118010024,1.19058692933145,0.883913200686329,118,910,24508,185478,0.962245496023069
"55_03","all_other",1.26482991528676,0.994269961247625,1.5925577594448,0.0483356739547204,86,515,24540,185873,0.211473259382243
"55_08","all_other",1.35843044942765,0.973598613921917,1.85929107223051,0.0618737030232665,47,262,24579,186126,0.239913897154596
"60_05","all_other",0.918635794053186,0.68861972825777,1.20593916079686,0.59299744890701,59,486,24567,185902,0.829161988650212
"60_04","all_other",1.21342444061405,0.955878493819855,1.52474014982916,0.0935947450810404,87,543,24539,185845,0.299728021269559
"60_09","all_other",1.13599906008326,0.967068499435657,1.32824585245474,0.113755837316686,184,1227,24442,185161,0.339456919636151
"60_10","all_other",1.30150853404847,1.12910555626485,1.49500673309791,0.000269774602586729,239,1393,24387,184995,0.00719398940231278
"60_06","all_other",1.1641337127242,1.01097500816444,1.33571721036188,0.0321773747108428,239,1556,24387,184832,0.164309998523453
"60_02","all_other",1.0458590583614,0.879938985410061,1.23620236275295,0.604389908193236,159,1151,24467,185237,0.838459988244952
"60_07","all_other",1.16651820400902,0.850749041084163,1.57078561594841,0.299819918523507,51,331,24575,186057,0.595322611834759
"60_12","all_other",1.03223719586675,0.827744686840159,1.27549022145995,0.744590410475332,99,726,24527,185662,0.897998484995375
"60_08","all_other",1.19006533032762,1.01304062950857,1.39150861836636,0.0308125191222518,185,1178,24441,185210,0.161373339423521
"60_11","all_other",1.16663726825287,0.970214424271913,1.39427690858927,0.0936650066467373,142,922,24484,185466,0.299728021269559
"60_01","all_other",0.887589819067935,0.520775399198587,1.43188579207095,0.728120579284149,19,162,24607,186226,0.884745502704363
"60_03","all_other",1.00082839833361,0.7584660765134,1.30152587814469,1,64,484,24562,185904,1
"65_05","all_other",1.30615109348229,1.09866837321287,1.5447463584714,0.00227132118468677,163,946,24463,185442,0.0272558542162412
"65_08","all_other",0.977752932682164,0.836376531517761,1.1377419841527,0.818817080189543,192,1486,24434,184902,0.952736896063388
"65_10","all_other",0.983774418338852,0.818566625259845,1.17481441735889,0.893176067922131,140,1077,24486,185311,0.962245496023069
"65_02","all_other",1.01969731716283,0.84636228604648,1.22052331397622,0.818221607691535,137,1017,24489,185371,0.952736896063388
"65_03","all_other",1.03234395422681,0.878002207835635,1.20788996958641,0.686513535132476,180,1320,24446,185068,0.870925793465972
"65_11","all_other",1.1452045439233,0.988322534136631,1.32184332970124,0.0660104065489114,219,1449,24407,184939,0.247539024558418
"65_06","all_other",1.0917006166336,0.884289070420582,1.33661350674661,0.395705010885894,109,756,24517,185632,0.693464522514733
"65_12","all_other",1.07059099888806,0.84118619301216,1.34785755354999,0.549120192740312,84,594,24542,185794,0.813511396652314
"65_07","all_other",0.921496225584332,0.754934449200928,1.11620319052556,0.42279652910026,119,977,24507,185411,0.713527828305524
"65_04","all_other",0.800618895658978,0.562711779181912,1.1111608596188,0.194982009095527,40,378,24586,186010,0.477599019871379
"65_01","all_other",1.07488403324612,0.774180054147482,1.46272866678431,0.630408783736832,47,331,24579,186057,0.845240827356646
"65_09","all_other",1.47047840336511,1.1117024680513,1.91966026943857,0.00529825591197166,66,340,24560,186048,0.0484197497420282
"70_02","all_other",1.17805196042385,1.02172378947444,1.35342880699976,0.0223890483983413,235,1512,24391,184876,0.131057844282974
"70_09","all_other",1.1370223124764,0.980625331211641,1.31316745488386,0.0843202118277957,217,1446,24409,184942,0.288101432439387
"70_07","all_other",0.99775735260906,0.849240487774918,1.1665620264532,1,181,1373,24445,185015,1
"70_10","all_other",1.19760635140265,1.02504565988419,1.39324349486635,0.0214931348382162,198,1253,24428,185135,0.131057844282974
"70_06","all_other",0.979053847029767,0.78652788428053,1.20766407324858,0.874218308661308,100,773,24526,185615,0.962245496023069
"70_03","all_other",1.06423396004722,0.866526339464978,1.29672545133549,0.537860323703855,114,811,24512,185577,0.805858480718484
"70_11","all_other",1.09555745841869,0.834609980276654,1.41843970749539,0.497841737207779,67,463,24559,185925,0.765910364935045
"70_01","all_other",1.17467826664166,0.986546115578023,1.39101745470163,0.0619777567649373,158,1019,24468,185369,0.239913897154596
"70_04","all_other",1.13126715493201,0.976068659340595,1.30602770059437,0.0929907475292879,218,1460,24408,184928,0.299728021269559
"70_08","all_other",1.10242691114899,0.86455050261047,1.3905814064966,0.393070796281847,83,570,24543,185818,0.693464522514733
"70_05","all_other",1.13947092277202,0.882918439196006,1.45324757506082,0.300141816800024,76,505,24550,185883,0.595322611834759
"75_09","all_other",1.14285426398185,0.923336596007812,1.40290967983252,0.208648309762587,107,709,24519,185679,0.495797963792286
"75_03","all_other",1.11695734000708,0.95629863764467,1.29896122509011,0.150603858390868,197,1336,24429,185052,0.406122764200094
"75_08","all_other",1.08886171282591,0.913628899446828,1.29033544124266,0.327620343288232,155,1078,24471,185310,0.626588092220909
"75_05","all_other",1.04338636651393,0.880296844880183,1.2300817959355,0.610326752236621,164,1190,24462,185198,0.840010705067232
"75_10","all_other",1.02526322776917,0.88715647036314,1.18024097417967,0.718132968341377,224,1654,24402,184734,0.883855961035541
"75_06","all_other",1.03493955630642,0.850416042029604,1.25040320048471,0.697483543008936,124,907,24502,185481,0.870925793465972
"75_02","all_other",1.07963669713579,0.900976868960831,1.28588135232442,0.385623840248231,146,1024,24480,185364,0.693464522514733
"75_11","all_other",1.07371453173231,0.899972696445816,1.27358737732013,0.398108776983925,153,1079,24473,185309,0.693464522514733
"75_04","all_other",1.08180564450618,0.909859498507371,1.27913179169914,0.35756942427146,159,1113,24467,185275,0.665245440505043
"75_07","all_other",1.05076152630748,0.86182598264199,1.27178437699361,0.587569111207072,122,879,24504,185509,0.829161988650212
